subject,task_key,task_bids,band,channel,power
01,classical,classicalMusic,Alpha,CP2,1.8908163109430866e-11
01,classical,classicalMusic,Alpha,FC5,5.651962003990113e-12
01,classical,classicalMusic,Alpha,FC6,6.490270266963521e-12
01,classical,classicalMusic,Alpha,CP5,1.0634057901566578e-11
01,classical,classicalMusic,Alpha,CP6,4.6436878242594794e-12
01,classical,classicalMusic,Alpha,TP9,1.0952450670387952e-10
01,classical,classicalMusic,Alpha,TP10,2.547398092258056e-11
01,classical,classicalMusic,Alpha,POz,3.971254239106065e-11
01,classical,classicalMusic,Beta,Fp1,3.1228346280702164e-11
01,classical,classicalMusic,Beta,Fp2,5.779454134088026e-12
01,classical,classicalMusic,Beta,F3,3.800875021197407e-12
01,classical,classicalMusic,Beta,F4,5.487480156716664e-10
01,classical,classicalMusic,Beta,C3,3.389921549506654e-12
01,classical,classicalMusic,Beta,C4,3.1593030735422366e-12
01,classical,classicalMusic,Beta,P3,8.422827918155691e-11
01,classical,classicalMusic,Beta,P4,3.1801924698770776e-12
01,classical,classicalMusic,Beta,O1,4.990038438518025e-12
01,classical,classicalMusic,Beta,O2,4.658930588445752e-12
01,classical,classicalMusic,Beta,F7,3.3082206296607826e-10
01,classical,classicalMusic,Beta,F8,4.86301102740299e-12
01,classical,classicalMusic,Beta,T7,6.1777085613458366e-12
01,classical,classicalMusic,Beta,T8,4.312255459819107e-12
01,classical,classicalMusic,Beta,P7,5.259436291997143e-12
01,classical,classicalMusic,Beta,P8,4.084698690567533e-12
01,classical,classicalMusic,Beta,Fz,3.251187343977122e-12
01,classical,classicalMusic,Beta,Cz,3.4651161274551256e-12
01,classical,classicalMusic,Beta,Pz,1.893737747512034e-11
01,classical,classicalMusic,Beta,Oz,4.2220462234103014e-12
01,classical,classicalMusic,Beta,FC1,3.1766537572420607e-12
01,classical,classicalMusic,Beta,FC2,4.1117127461101485e-12
01,classical,classicalMusic,Beta,CP1,3.59299887661455e-11
01,classical,classicalMusic,Beta,CP2,8.42442525050872e-11
01,classical,classicalMusic,Beta,FC5,3.858690404609426e-12
01,classical,classicalMusic,Beta,FC6,3.663389082957798e-12
01,classical,classicalMusic,Beta,CP5,3.824688018202805e-12
01,classical,classicalMusic,Beta,CP6,3.5712088997346728e-12
01,classical,classicalMusic,Beta,TP9,5.735060989529978e-11
01,classical,classicalMusic,Beta,TP10,5.2472075518394486e-12
01,classical,classicalMusic,Beta,POz,8.041199690562643e-11
01,gen1,genMusic01,Delta,Fp1,1.8370592566933878e-10
01,gen1,genMusic01,Delta,Fp2,1.1635753447470357e-10
01,gen1,genMusic01,Delta,F3,1.9507168170083323e-11
01,gen1,genMusic01,Delta,F4,1.0473143174766292e-11
01,gen1,genMusic01,Delta,C3,6.508573046589553e-12
01,gen1,genMusic01,Delta,C4,5.884388021416599e-12
01,gen1,genMusic01,Delta,P3,1.9076463536435756e-11
01,gen1,genMusic01,Delta,P4,1.2400652147734498e-11
01,gen1,genMusic01,Delta,O1,1.844125346375058e-11
01,gen1,genMusic01,Delta,O2,1.8145304780054146e-11
01,gen1,genMusic01,Delta,F7,4.930102258177431e-11
01,gen1,genMusic01,Delta,F8,2.120475469615094e-11
01,gen1,genMusic01,Delta,T7,2.3434226798344638e-11
01,gen1,genMusic01,Delta,T8,2.875545896119485e-11
01,gen1,genMusic01,Delta,P7,1.876800968385305e-11
01,gen1,genMusic01,Delta,P8,2.745308000327265e-11
01,gen1,genMusic01,Delta,Fz,9.472307247449458e-12
01,gen1,genMusic01,Delta,Cz,3.3928773843103464e-12
01,gen1,genMusic01,Delta,Pz,8.744644447031851e-12
01,gen1,genMusic01,Delta,Oz,1.8296930680755853e-11
01,gen1,genMusic01,Delta,FC1,3.2715392004370894e-12
01,gen1,genMusic01,Delta,FC2,2.0938790091345747e-12
01,gen1,genMusic01,Delta,CP1,3.919908187987894e-11
01,gen1,genMusic01,Delta,CP2,8.25936293337222e-12
01,gen1,genMusic01,Delta,FC5,1.5768229852872196e-11
01,gen1,genMusic01,Delta,FC6,8.872691603253943e-12
01,gen1,genMusic01,Delta,CP5,1.3279518520273607e-11
01,gen1,genMusic01,Delta,CP6,1.4963223565462588e-11
01,gen1,genMusic01,Delta,TP9,6.047922825451133e-11
01,gen1,genMusic01,Delta,TP10,4.7401748109692046e-11
01,gen1,genMusic01,Delta,POz,1.295592424898873e-11
01,gen1,genMusic01,Alpha,Fp1,3.2654798400051858e-12
01,gen1,genMusic01,Alpha,Fp2,2.566324579281586e-12
01,gen1,genMusic01,Alpha,F3,1.417831829079367e-12
01,gen1,genMusic01,Alpha,F4,1.3247021628490715e-12
01,gen1,genMusic01,Alpha,C3,1.4134000171562682e-12
01,gen1,genMusic01,Alpha,C4,7.334863993262047e-13
01,gen1,genMusic01,Alpha,P3,1.4246665895752452e-12
01,gen1,genMusic01,Alpha,P4,1.379384315822597e-12
01,gen1,genMusic01,Alpha,O1,4.826655384137415e-12
01,gen1,genMusic01,Alpha,O2,4.330396069193135e-12
01,gen1,genMusic01,Alpha,F7,4.6070601014013635e-12
01,gen1,genMusic01,Alpha,F8,4.328938766247643e-12
01,gen1,genMusic01,Alpha,T7,6.455864326941266e-12
01,gen1,genMusic01,Alpha,T8,5.413269013221835e-12
01,gen1,genMusic01,Alpha,P7,5.635530515897752e-12
01,gen1,genMusic01,Alpha,P8,5.466852135619869e-12
01,gen1,genMusic01,Alpha,Fz,7.13897025878105e-13
01,gen1,genMusic01,Alpha,Cz,5.360568605305894e-13
01,gen1,genMusic01,Alpha,Pz,6.418170175936006e-13
01,gen1,genMusic01,Alpha,Oz,3.7221593303343016e-12
01,gen1,genMusic01,Alpha,FC1,7.124827044702932e-13
01,gen1,genMusic01,Alpha,FC2,6.036214569216252e-13
01,gen1,genMusic01,Alpha,CP1,1.0314312723625287e-12
01,gen1,genMusic01,Alpha,CP2,4.826447677078063e-13
01,gen1,genMusic01,Alpha,FC5,3.084229632244017e-12
01,gen1,genMusic01,Alpha,FC6,2.1536584734216015e-12
01,gen1,genMusic01,Alpha,CP5,3.038906544381762e-12
01,gen1,genMusic01,Alpha,CP6,2.190852876197428e-12
01,gen1,genMusic01,Alpha,TP9,1.317959656176966e-12
01,gen1,genMusic01,Alpha,TP10,9.913788963716365e-12
01,gen1,genMusic01,Alpha,POz,1.932463265586333e-12
01,gen1,genMusic01,Beta,Fp1,7.026113457245944e-13
01,gen1,genMusic01,Beta,Fp2,7.38438139814131e-13
01,gen1,genMusic01,Beta,F3,2.3601173513888934e-13
01,gen1,genMusic01,Beta,F4,1.8005804798728257e-12
01,gen1,genMusic01,Beta,C3,2.1991916401145634e-13
01,gen1,genMusic01,Beta,C4,1.8811334005859426e-13
01,gen1,genMusic01,Beta,P3,1.4972692366328196e-12
01,gen1,genMusic01,Beta,P4,2.976303099238889e-13
01,gen1,genMusic01,Beta,O1,8.767541656203285e-13
01,gen1,genMusic01,Beta,O2,7.447657346586128e-13
01,gen1,genMusic01,Beta,F7,1.9201401296615517e-12
01,gen1,genMusic01,Beta,F8,6.982549140937354e-13
01,gen1,genMusic01,Beta,T7,9.520395999515542e-13
01,gen1,genMusic01,Beta,T8,6.994629077752196e-13
01,gen1,genMusic01,Beta,P7,7.940043597317193e-13
01,gen1,genMusic01,Beta,P8,6.934076914792251e-13
01,gen1,genMusic01,Beta,Fz,1.5632007147784011e-13
01,gen1,genMusic01,Beta,Cz,1.3931960036692768e-13
01,gen1,genMusic01,Beta,Pz,2.204237684501652e-13
01,gen1,genMusic01,Beta,Oz,6.44398630370999e-13
01,gen1,genMusic01,Beta,FC1,1.6505952809147274e-13
01,gen1,genMusic01,Beta,FC2,1.3785674053337676e-13
01,gen1,genMusic01,Beta,CP1,5.589757794293947e-13
01,gen1,genMusic01,Beta,CP2,9.269754529550577e-13
01,gen1,genMusic01,Beta,FC5,4.297539252658128e-13
01,gen1,genMusic01,Beta,FC6,3.736741556544322e-13
01,gen1,genMusic01,Beta,CP5,4.4100086356748934e-13
01,gen1,genMusic01,Beta,CP6,3.7653263393652487e-13
01,gen1,genMusic01,Beta,TP9,8.629117085350747e-13
01,gen1,genMusic01,Beta,TP10,1.1974844241344962e-12
01,gen1,genMusic01,Beta,POz,4.798796172461694e-13
01,gen2,genMusic02,Delta,Fp1,1.2747782135505227e-10
01,gen2,genMusic02,Delta,Fp2,1.964692085416238e-10
01,gen2,genMusic02,Delta,F3,1.2764399383504644e-10
01,gen2,genMusic02,Delta,F4,9.093314155773213e-10
01,gen2,genMusic02,Delta,C3,1.4930858637069918e-10
01,gen2,genMusic02,Delta,C4,1.1401409873299765e-10
01,gen2,genMusic02,Delta,P3,1.0729237346734016e-09
01,gen2,genMusic02,Delta,P4,8.774314539090693e-11
01,gen2,genMusic02,Delta,O1,1.0773572895864069e-10
01,gen2,genMusic02,Delta,O2,7.677389624811674e-11
01,gen2,genMusic02,Delta,F7,4.510535994607623e-10
01,gen2,genMusic02,Delta,F8,4.761976680041533e-10
01,gen2,genMusic02,Delta,T7,5.917855858093131e-10
01,gen2,genMusic02,Delta,T8,5.396617284368711e-10
01,gen2,genMusic02,Delta,P7,4.295291736846324e-10
01,gen2,genMusic02,Delta,P8,3.128738143020499e-10
01,gen2,genMusic02,Delta,Fz,3.8679457821424107e-11
01,gen2,genMusic02,Delta,Cz,3.1903467602438935e-11
01,gen2,genMusic02,Delta,Pz,2.729819973910918e-11
01,gen2,genMusic02,Delta,Oz,6.110858557550791e-11
01,gen2,genMusic02,Delta,FC1,5.194641122464879e-11
01,gen2,genMusic02,Delta,FC2,6.342810783805935e-11
01,gen2,genMusic02,Delta,CP1,4.5196226057496476e-10
01,gen2,genMusic02,Delta,CP2,5.5430495632344136e-11
01,gen2,genMusic02,Delta,FC5,2.9677979504744057e-10
01,gen2,genMusic02,Delta,FC6,2.8834624789282753e-10
01,gen2,genMusic02,Delta,CP5,3.0303696951866186e-10
01,gen2,genMusic02,Delta,CP6,1.9691945750861678e-10
01,gen2,genMusic02,Delta,TP9,6.341939754495273e-09
01,gen2,genMusic02,Delta,TP10,1.0349316034651512e-09
01,gen2,genMusic02,Delta,POz,7.139793253852073e-11
01,gen2,genMusic02,Alpha,Fp1,3.2984211755105277e-11
01,gen2,genMusic02,Alpha,Fp2,3.635422768958323e-11
01,gen2,genMusic02,Alpha,F3,1.910422810307466e-11
01,gen2,genMusic02,Alpha,F4,6.587107660265248e-10
01,gen2,genMusic02,Alpha,C3,1.716386921831437e-11
01,gen2,genMusic02,Alpha,C4,1.1481942642648667e-11
01,gen2,genMusic02,Alpha,P3,2.898016167983093e-10
01,gen2,genMusic02,Alpha,P4,1.6177086236941073e-11
01,gen2,genMusic02,Alpha,O1,5.026820670772045e-11
01,gen2,genMusic02,Alpha,O2,4.123895283208439e-11
01,gen2,genMusic02,Alpha,F7,1.2547991086185553e-10
01,gen2,genMusic02,Alpha,F8,6.549040628400299e-11
01,gen2,genMusic02,Alpha,T7,9.114031607105065e-11
01,gen2,genMusic02,Alpha,T8,6.880154197632645e-11
01,gen2,genMusic02,Alpha,P7,6.86011335908569e-11
01,gen2,genMusic02,Alpha,P8,6.159409481707784e-11
01,gen2,genMusic02,Alpha,Fz,1.0356887158106619e-11
01,gen2,genMusic02,Alpha,Cz,7.45050661363933e-12
01,gen2,genMusic02,Alpha,Pz,1.0188339469923736e-11
01,gen2,genMusic02,Alpha,Oz,3.9976525872830925e-11
01,gen2,genMusic02,Alpha,FC1,9.547484379966489e-12
01,gen2,genMusic02,Alpha,FC2,9.54047074835685e-12
01,gen2,genMusic02,Alpha,CP1,1.3397444915981492e-10
01,gen2,genMusic02,Alpha,CP2,1.0410085992660499e-10
01,gen2,genMusic02,Alpha,FC5,3.7175464048760307e-11
01,gen2,genMusic02,Alpha,FC6,3.1808382577482264e-11
01,gen2,genMusic02,Alpha,CP5,3.8130025250059106e-11
01,gen2,genMusic02,Alpha,CP6,2.6452469617874776e-11
01,gen2,genMusic02,Alpha,TP9,3.25709558321597e-09
01,gen2,genMusic02,Alpha,TP10,2.84308818790692e-10
01,gen2,genMusic02,Alpha,POz,2.6849370173278704e-11
01,gen2,genMusic02,Beta,Fp1,2.8563241367667927e-11
01,gen2,genMusic02,Beta,Fp2,2.9914140994387905e-11
01,gen2,genMusic02,Beta,F3,2.642870904867323e-11
01,gen2,genMusic02,Beta,F4,2.562186561885262e-09
01,gen2,genMusic02,Beta,C3,3.7156510735005265e-11
01,gen2,genMusic02,Beta,C4,2.683597803076282e-11
01,gen2,genMusic02,Beta,P3,1.130758113415284e-09
01,gen2,genMusic02,Beta,P4,3.257928697603715e-11
01,gen2,genMusic02,Beta,O1,3.607143131513457e-11
01,gen2,genMusic02,Beta,O2,3.570079654443802e-11
01,gen2,genMusic02,Beta,F7,6.161365669307044e-10
01,gen2,genMusic02,Beta,F8,3.066195380860271e-11
01,gen2,genMusic02,Beta,T7,3.388525800192572e-11
01,gen2,genMusic02,Beta,T8,2.959839232399849e-11
01,gen2,genMusic02,Beta,P7,3.6394791541887205e-11
01,gen2,genMusic02,Beta,P8,2.8456365858538477e-11
01,gen2,genMusic02,Beta,Fz,2.90228616183781e-11
01,gen2,genMusic02,Beta,Cz,2.994853885251719e-11
01,gen2,genMusic02,Beta,Pz,3.13364152007787e-11
01,gen2,genMusic02,Beta,Oz,3.558044751252751e-11
01,gen2,genMusic02,Beta,FC1,3.0252652907872306e-11
01,gen2,genMusic02,Beta,FC2,3.026691222869575e-11
01,gen2,genMusic02,Beta,CP1,5.105315556015604e-10
01,gen2,genMusic02,Beta,CP2,5.351120264756205e-10
01,gen2,genMusic02,Beta,FC5,3.1493580699078703e-11
01,gen2,genMusic02,Beta,FC6,3.0160866584258784e-11
01,gen2,genMusic02,Beta,CP5,3.310597308188172e-11
01,gen2,genMusic02,Beta,CP6,3.231648506899394e-11
01,gen2,genMusic02,Beta,TP9,8.740851309396738e-09
01,gen2,genMusic02,Beta,TP10,2.549641341684876e-10
01,gen2,genMusic02,Beta,POz,3.1223016073868436e-11
01,gen3,genMusic03,Delta,Fp1,2.428816827119179e-10
01,gen3,genMusic03,Delta,Fp2,2.5896579425509234e-10
01,gen3,genMusic03,Delta,F3,2.51893511149182e-10
01,gen3,genMusic03,Delta,F4,6.695974497643138e-10
01,gen3,genMusic03,Delta,C3,2.753863818774588e-10
01,gen3,genMusic03,Delta,C4,2.357151938920749e-10
01,gen3,genMusic03,Delta,P3,8.158682032213453e-10
01,gen3,genMusic03,Delta,P4,2.0706662903720092e-10
01,gen3,genMusic03,Delta,O1,1.5635654518310804e-10
01,gen3,genMusic03,Delta,O2,1.809444284362801e-10
01,gen3,genMusic03,Delta,F7,8.217602437378917e-10
01,gen3,genMusic03,Delta,F8,8.903336882912835e-10
01,gen3,genMusic03,Delta,T7,1.1233147800838541e-09
01,gen3,genMusic03,Delta,T8,1.2346889239249724e-09
01,gen3,genMusic03,Delta,P7,7.934222469313848e-10
01,gen3,genMusic03,Delta,P8,7.819855361118379e-10
01,gen3,genMusic03,Delta,Fz,3.826342498766168e-11
01,gen3,genMusic03,Delta,Cz,2.997398895407546e-11
01,gen3,genMusic03,Delta,Pz,2.2495088107607123e-11
01,gen3,genMusic03,Delta,Oz,1.461034039060412e-10
01,gen3,genMusic03,Delta,FC1,6.779757148391528e-11
01,gen3,genMusic03,Delta,FC2,9.151613856693781e-11
01,gen3,genMusic03,Delta,CP1,5.277355544996712e-10
01,gen3,genMusic03,Delta,CP2,1.496198486746109e-10
01,gen3,genMusic03,Delta,FC5,6.169743318877747e-10
01,gen3,genMusic03,Delta,FC6,5.501003971966108e-10
01,gen3,genMusic03,Delta,CP5,5.87198633043555e-10
01,gen3,genMusic03,Delta,CP6,4.7054178574049e-10
01,gen3,genMusic03,Delta,TP9,6.6380074594901385e-09
01,gen3,genMusic03,Delta,TP10,1.5835630010865997e-09
01,gen3,genMusic03,Delta,POz,1.3017478286401777e-10
01,gen3,genMusic03,Alpha,Fp1,4.7358917691653486e-11
01,gen3,genMusic03,Alpha,Fp2,4.3906615218509133e-11
01,gen3,genMusic03,Alpha,F3,3.0231394677613936e-11
01,gen3,genMusic03,Alpha,F4,5.986683848955037e-10
01,gen3,genMusic03,Alpha,C3,2.7846307522408882e-11
01,gen3,genMusic03,Alpha,C4,1.4546262280839183e-11
01,gen3,genMusic03,Alpha,P3,2.453002098003727e-10
01,gen3,genMusic03,Alpha,P4,2.3951868317722023e-11
01,gen3,genMusic03,Alpha,O1,8.386848466361453e-11
01,gen3,genMusic03,Alpha,O2,7.101185278342298e-11
01,gen3,genMusic03,Alpha,F7,1.6405063740684668e-10
01,gen3,genMusic03,Alpha,F8,1.0244572228432444e-10
01,gen3,genMusic03,Alpha,T7,1.4529226369174552e-10
01,gen3,genMusic03,Alpha,T8,1.426770375199269e-10
01,gen3,genMusic03,Alpha,P7,1.2051582764632842e-10
01,gen3,genMusic03,Alpha,P8,1.1614411726846933e-10
01,gen3,genMusic03,Alpha,Fz,1.0812069335053622e-11
01,gen3,genMusic03,Alpha,Cz,7.786558198047109e-12
01,gen3,genMusic03,Alpha,Pz,9.461365020807066e-12
01,gen3,genMusic03,Alpha,Oz,7.012869712448095e-11
01,gen3,genMusic03,Alpha,FC1,1.2280864920353707e-11
01,gen3,genMusic03,Alpha,FC2,9.569594337442485e-12
01,gen3,genMusic03,Alpha,CP1,1.2175337119024646e-10
01,gen3,genMusic03,Alpha,CP2,1.174743232631393e-10
01,gen3,genMusic03,Alpha,FC5,7.091570059611628e-11
01,gen3,genMusic03,Alpha,FC6,4.8329644043220365e-11
01,gen3,genMusic03,Alpha,CP5,6.652221168777392e-11
01,gen3,genMusic03,Alpha,CP6,4.497610697071641e-11
01,gen3,genMusic03,Alpha,TP9,1.8235510419273406e-09
01,gen3,genMusic03,Alpha,TP10,2.434779715781676e-10
01,gen3,genMusic03,Alpha,POz,6.304406566032165e-11
01,gen3,genMusic03,Beta,Fp1,1.7181752861044678e-11
01,gen3,genMusic03,Beta,Fp2,1.8550347645848864e-11
01,gen3,genMusic03,Beta,F3,1.4830005392626404e-11
01,gen3,genMusic03,Beta,F4,2.606675201428584e-09
01,gen3,genMusic03,Beta,C3,2.3780204727522437e-11
01,gen3,genMusic03,Beta,C4,1.7633150366439464e-11
01,gen3,genMusic03,Beta,P3,4.6395415778757466e-10
01,gen3,genMusic03,Beta,P4,2.0578383167219238e-11
01,gen3,genMusic03,Beta,O1,2.4518818161590805e-11
01,gen3,genMusic03,Beta,O2,2.418651591964686e-11
01,gen3,genMusic03,Beta,F7,1.3635346678041714e-09
01,gen3,genMusic03,Beta,F8,2.6056779137310033e-11
01,gen3,genMusic03,Beta,T7,1.9787179995077814e-11
01,gen3,genMusic03,Beta,T8,2.218225302540556e-11
01,gen3,genMusic03,Beta,P7,2.109613561899525e-11
01,gen3,genMusic03,Beta,P8,2.0699025283402004e-11
01,gen3,genMusic03,Beta,Fz,1.9490082877839733e-11
01,gen3,genMusic03,Beta,Cz,1.9402227344687242e-11
01,gen3,genMusic03,Beta,Pz,1.741415803812581e-11
01,gen3,genMusic03,Beta,Oz,2.392429836539284e-11
01,gen3,genMusic03,Beta,FC1,1.7985939642382828e-11
01,gen3,genMusic03,Beta,FC2,1.6554306412032277e-11
01,gen3,genMusic03,Beta,CP1,1.2516523894668735e-10
01,gen3,genMusic03,Beta,CP2,1.8119003945772972e-10
01,gen3,genMusic03,Beta,FC5,1.7800338335025817e-11
01,gen3,genMusic03,Beta,FC6,1.9422703904472332e-11
01,gen3,genMusic03,Beta,CP5,2.0583208890959542e-11
01,gen3,genMusic03,Beta,CP6,2.1470753278833718e-11
01,gen3,genMusic03,Beta,TP9,2.6596588109489294e-09
01,gen3,genMusic03,Beta,TP10,3.112404821142849e-11
01,gen3,genMusic03,Beta,POz,2.4632837385944456e-11
03,classical,classicalMusic,Delta,Fp1,5.028023545568452e-10
03,classical,classicalMusic,Delta,Fp2,1.18695077727181e-10
03,classical,classicalMusic,Delta,F3,3.8327154521091034e-10
03,classical,classicalMusic,Delta,F4,3.976544674823921e-10
03,classical,classicalMusic,Delta,C3,4.1316934399599915e-10
03,classical,classicalMusic,Delta,C4,4.549865337936069e-10
03,classical,classicalMusic,Delta,P3,1.83301846301402e-10
03,classical,classicalMusic,Delta,P4,3.1745423223940787e-10
03,classical,classicalMusic,Delta,O1,1.9417097287227636e-10
03,classical,classicalMusic,Delta,O2,1.1484951441006285e-10
03,classical,classicalMusic,Delta,F7,1.0667217022758805e-09
03,classical,classicalMusic,Delta,F8,1.2302425383791076e-09
03,classical,classicalMusic,Delta,T7,1.000776728372212e-09
03,classical,classicalMusic,Delta,T8,1.4317559699810541e-09
03,classical,classicalMusic,Delta,P7,9.185378435801807e-10
03,classical,classicalMusic,Delta,P8,8.18905919901116e-10
03,classical,classicalMusic,Delta,Fz,2.6916096517457005e-11
03,classical,classicalMusic,Delta,Cz,3.2804906340308354e-11
03,classical,classicalMusic,Delta,Pz,1.911523585939614e-11
03,classical,classicalMusic,Delta,Oz,8.010139386022638e-11
03,classical,classicalMusic,Delta,FC1,8.848089741196249e-11
03,classical,classicalMusic,Delta,FC2,9.305657805297562e-11
03,classical,classicalMusic,Delta,CP1,1.4184921952617246e-10
03,classical,classicalMusic,Delta,CP2,1.597847964125407e-10
03,classical,classicalMusic,Delta,FC5,8.789665186449355e-10
03,classical,classicalMusic,Delta,FC6,9.525630474149e-10
03,classical,classicalMusic,Delta,CP5,4.76778434390177e-10
03,classical,classicalMusic,Delta,CP6,6.805740155963333e-10
03,classical,classicalMusic,Delta,TP9,1.7199046466414238e-09
03,classical,classicalMusic,Delta,TP10,1.4685383206119635e-09
03,classical,classicalMusic,Delta,POz,4.672982685060494e-11
03,classical,classicalMusic,Alpha,Fp1,4.034822853201278e-11
03,classical,classicalMusic,Alpha,Fp2,1.4261055823200146e-11
03,classical,classicalMusic,Alpha,F3,3.5748462663298494e-11
03,classical,classicalMusic,Alpha,F4,3.010236844502654e-11
03,classical,classicalMusic,Alpha,C3,2.8192318916605957e-11
03,classical,classicalMusic,Alpha,C4,3.6690155532370964e-11
03,classical,classicalMusic,Alpha,P3,1.7396605030302153e-11
03,classical,classicalMusic,Alpha,P4,2.3800718494355112e-11
03,classical,classicalMusic,Alpha,O1,4.570569901254803e-11
03,classical,classicalMusic,Alpha,O2,1.601177146124934e-11
03,classical,classicalMusic,Alpha,F7,1.2559258730042257e-10
03,classical,classicalMusic,Alpha,F8,8.502672759585744e-11
03,classical,classicalMusic,Alpha,T7,1.16870213143364e-10
03,classical,classicalMusic,Alpha,T8,1.0212762549193702e-10
03,classical,classicalMusic,Alpha,P7,1.0925675152156125e-10
03,classical,classicalMusic,Alpha,P8,6.235031829060866e-11
03,classical,classicalMusic,Alpha,Fz,4.10048695937279e-12
03,classical,classicalMusic,Alpha,Cz,1.5207492709696198e-12
03,classical,classicalMusic,Alpha,Pz,1.6513468983771719e-12
03,classical,classicalMusic,Alpha,Oz,1.7063960211282416e-11
03,classical,classicalMusic,Alpha,FC1,3.765776986640909e-12
03,classical,classicalMusic,Alpha,FC2,6.880967417111775e-12
03,classical,classicalMusic,Alpha,CP1,6.160172844135634e-12
03,classical,classicalMusic,Alpha,CP2,1.7175526561117776e-11
03,classical,classicalMusic,Alpha,FC5,8.391623994637753e-11
03,classical,classicalMusic,Alpha,FC6,6.451212660348037e-11
03,classical,classicalMusic,Alpha,CP5,4.5311682823439195e-11
03,classical,classicalMusic,Alpha,CP6,4.917053938714471e-11
03,classical,classicalMusic,Alpha,TP9,1.932545264019368e-10
03,classical,classicalMusic,Alpha,TP10,1.3961536133338613e-10
03,classical,classicalMusic,Alpha,POz,6.946994990105608e-12
03,classical,classicalMusic,Beta,Fp1,1.6981570830203002e-12
03,classical,classicalMusic,Beta,Fp2,9.848258875508668e-11
03,classical,classicalMusic,Beta,F3,1.7215618365680744e-12
03,classical,classicalMusic,Beta,F4,1.9982365513836322e-12
03,classical,classicalMusic,Beta,C3,8.730695756888751e-13
03,classical,classicalMusic,Beta,C4,1.319171933026187e-12
03,classical,classicalMusic,Beta,P3,9.294151639986464e-13
03,classical,classicalMusic,Beta,P4,1.365162866213256e-12
03,classical,classicalMusic,Beta,O1,3.0512379941167998e-12
03,classical,classicalMusic,Beta,O2,2.269681418103174e-12
03,classical,classicalMusic,Beta,F7,2.432329923340277e-12
